t_s,Cb_mM
108.5,0.774208545931043
109,0.773122190987994
109.5,0.77203736039787
110,0.770954052021729
110.5,0.769872263723628
111,0.768791993370622
111.5,0.76771323883276
112,0.766635997983077
112.5,0.765560268697595
113,0.764486048855315
113.5,0.763413336338214
114,0.762342129031243
114.5,0.761272424822318
115,0.760204221602321
115.5,0.759137517265091
116,0.758072309707425
116.5,0.75700859682907
117,0.755946376532719
117.5,0.75488564672401
118,0.753826405311517
118.5,0.752768650206752
119,0.751712379324155
119.5,0.750657590581093
120,0.749604281897856
120.5,0.748552451197652
121,0.747502096406602
121.5,0.746453215453738
122,0.745405806270999
122.5,0.744359866793224
123,0.74331539495815
123.5,0.742272388706409
124,0.741230845981521
124.5,0.740190764729893
125,0.739152142900814
125.5,0.738114978446448
126,0.737079269321835
126.5,0.736045013484883
127,0.735012208896367
127.5,0.733980853519921
128,0.732950945322038
128.5,0.731922482272065
129,0.730895462342197
129.5,0.729869883507475
130,0.728845743745781
130.5,0.727823041037835
131,0.726801773367189
131.5,0.725781938720227
132,0.724763535086156
132.5,0.723746560457006
133,0.722731012827625
133.5,0.721716890195671
134,0.720704190561616
134.5,0.719692911928736
135,0.718683052303109
135.5,0.71767460969361
136,0.716667582111908
136.5,0.715661967572463
137,0.714657764092521
137.5,0.713654969692109
138,0.712653582394034
138.5,0.711653600223875
139,0.710655021209983
139.5,0.709657843383476
140,0.708662064778235
140.5,0.707667683430897
141,0.706674697380856
141.5,0.705683104670259
142,0.704692903343995
142.5,0.703704091449703
143,0.702716667037755
143.5,0.701730628161264
144,0.700745972876072
144.5,0.699762699240749
145,0.698780805316589
145.5,0.697800289167609
146,0.69682114886054
146.5,0.695843382464826
147,0.69486698805262
147.5,0.693891963698781
148,0.692918307480869
148.5,0.691946017479141
149,0.690975091776547
149.5,0.69000552845873
150,0.689037325614015
150.5,0.688070481333414
151,0.687104993710613
151.5,0.686140860841976
152,0.685178080826538
152.5,0.684216651766
153,0.683256571764727
153.5,0.682297838929745
154,0.681340451370735
154.5,0.680384407200032
155,0.679429704532617
155.5,0.678476341486119
156,0.677524316180807
156.5,0.676573626739586
157,0.675624271287999
157.5,0.674676247954214
158,0.67372955486903
158.5,0.672784190165867
159,0.671840151980764
159.5,0.670897438452375
160,0.669956047721967
160.5,0.669015977933415
161,0.668077227233197
161.5,0.667139793770395
162,0.666203675696684
162.5,0.665268871166335
163,0.66433537833621
163.5,0.663403195365754
164,0.662472320416997
164.5,0.661542751654548
165,0.660614487245591
165.5,0.659687525359881
166,0.658761864169741
166.5,0.657837501850061
167,0.656914436578288
167.5,0.655992666534431
168,0.65507218990105
168.5,0.654153004863254
169,0.653235109608702
169.5,0.652318502327593
170,0.651403181212668
170.5,0.650489144459202
171,0.649576390265003
171.5,0.648664916830408
172,0.647754722358278
172.5,0.646845805053999
173,0.645938163125472
173.5,0.645031794783113
174,0.64412669823985
174.5,0.643222871711119
175,0.642320313414858
175.5,0.641419021571508
176,0.640518994404006
176.5,0.639620230137782
177,0.638722727000758
177.5,0.637826483223338
178,0.636931497038415
178.5,0.636037766681358
179,0.635145290390013
179.5,0.634254066404698
180,0.6333640929682
180.5,0.632475368325774
181,0.631587890725134
181.5,0.630701658416455
182,0.629816669652366
182.5,0.62893292268795
183,0.628050415780735
183.5,0.627169147190698
184,0.626289115180254
184.5,0.625410318014258
185,0.624532753959999
185.5,0.623656421287198
186,0.622781318268004
186.5,0.62190744317699
187,0.62103479429115
187.5,0.620163369889896
188,0.619293168255054
188.5,0.61842418767086
189,0.61755642642396
189.5,0.616689882803403
190,0.615824555100637
190.5,0.61496044160951
191,0.614097540626263
191.5,0.613235850449527
192,0.612375369380321
192.5,0.611516095722048
193,0.610658027780492
