t_s, Cb_mM
174,0.418678
174.5,0.418678
175,0.406004
175.5,0.406004
176,0.406004
176.5,0.406004
177,0.406004
177.5,0.406004
178,0.406004
178.5,0.406004
179,0.406004
179.5,0.406004
180,0.406004
180.5,0.406004
181,0.406004
181.5,0.406004
182,0.406004
182.5,0.406004
183,0.393394
183.5,0.393394
184,0.393394
184.5,0.393394
185,0.393394
185.5,0.393394
186,0.393394
186.5,0.393394
187,0.393394
187.5,0.393394
188,0.393394
188.5,0.393394
189,0.393394
189.5,0.393394
190,0.393394
190.5,0.393394
191,0.380849
191.5,0.380849
192,0.380849
192.5,0.380849
193,0.380849
193.5,0.380849
194,0.380849
194.5,0.380849
195,0.380849
195.5,0.380849
196,0.380849
196.5,0.380849
197,0.380849
197.5,0.380849
198,0.380849
198.5,0.380849
199,0.380849
199.5,0.380849
200,0.380849
200.5,0.380849
201,0.368368
201.5,0.368368
202,0.368368
202.5,0.368368
203,0.368368
203.5,0.368368
204,0.368368
204.5,0.368368
205,0.368368
205.5,0.368368
206,0.368368
206.5,0.368368
207,0.368368
207.5,0.368368
208,0.368368
208.5,0.368368
209,0.368368
209.5,0.368368
210,0.368368
210.5,0.368368
211,0.368368
211.5,0.355951
212,0.355951
212.5,0.355951
213,0.355951
213.5,0.355951
214,0.355951
214.5,0.355951
215,0.355951
215.5,0.355951
216,0.355951
216.5,0.355951
217,0.355951
217.5,0.355951
218,0.355951
218.5,0.355951
219,0.355951
219.5,0.355951
220,0.355951
220.5,0.355951
221,0.355951
221.5,0.355951
222,0.355951
222.5,0.355951
223,0.355951
223.5,0.355951
224,0.343596
224.5,0.355951
225,0.343596
225.5,0.343596
226,0.343596
226.5,0.343596
227,0.343596
227.5,0.343596
228,0.343596
228.5,0.343596
229,0.343596
229.5,0.343596
230,0.343596
230.5,0.343596
231,0.343596
231.5,0.343596
232,0.343596
232.5,0.343596
233,0.343596
233.5,0.343596
234,0.343596
234.5,0.343596
235,0.343596
235.5,0.343596
236,0.343596
236.5,0.343596
237,0.343596
237.5,0.343596
238,0.343596
238.5,0.343596
239,0.343596
239.5,0.343596
240,0.343596
240.5,0.331304
241,0.331304
241.5,0.331304
242,0.331304
242.5,0.331304
243,0.331304
243.5,0.331304
244,0.331304
244.5,0.331304
245,0.331304
245.5,0.331304
246,0.331304
246.5,0.331304
247,0.331304
247.5,0.331304
248,0.331304
248.5,0.331304
249,0.331304
249.5,0.331304
250,0.331304
250.5,0.331304
251,0.331304
251.5,0.331304
252,0.331304
252.5,0.331304
253,0.331304
253.5,0.331304
254,0.331304
254.5,0.331304
255,0.331304
255.5,0.331304
256,0.331304
256.5,0.331304
257,0.331304
257.5,0.331304
258,0.331304
258.5,0.331304
259,0.331304
259.5,0.319073
260,0.319073
260.5,0.319073
261,0.319073
261.5,0.319073
262,0.319073
262.5,0.319073
263,0.319073
263.5,0.319073
264,0.319073
264.5,0.319073
265,0.319073
265.5,0.319073
266,0.319073
266.5,0.319073
267,0.319073
267.5,0.319073
268,0.319073
268.5,0.319073
269,0.319073
269.5,0.319073
270,0.319073
270.5,0.319073
271,0.319073
271.5,0.319073
272,0.319073
272.5,0.319073
273,0.319073
273.5,0.319073
274,0.319073
274.5,0.319073
275,0.319073
275.5,0.319073
276,0.319073
276.5,0.319073
277,0.319073
277.5,0.319073
278,0.319073
278.5,0.319073
279,0.319073
279.5,0.319073
280,0.319073
280.5,0.319073
281,0.319073
281.5,0.319073
282,0.319073
282.5,0.319073
283,0.319073
283.5,0.319073
284,0.319073
